datetime,CT
2021-09-05 17:57:21,0.12000366
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.12000366
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,-0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,-0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,-0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.18000549
2021-09-05 17:57:21,0.12000366
2021-09-05 17:57:21,0.12000366
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.0
2021-09-05 17:57:21,0.06000183
2021-09-05 17:57:21,0.06000183
